Geneid	GeneName	GeneType	ESC_Day0_rep1	ESC_Day0_rep2	PreNCC_Day3_rep1	PreNCC_Day3_rep2	NCC_Day5_rep1	NCC_Day5_rep2
ENSG00000251046.2	ZNF969P	processed_pseudogene	1	1	0	2	4	3
ENSG00000199894.1	ENSG00000199894	snoRNA	0	0	0	0	0	0
ENSG00000250511.1	ENSG00000250511	lncRNA	1	0	0	1	2	3
ENSG00000250103.3	PANCR	lncRNA	2	1	11	0	7	7
ENSG00000164093.18	PITX2	protein_coding	6	5	25	5	34	31
ENSG00000289096.1	ENSG00000289096	lncRNA	1	1	1	1	0	2
ENSG00000249519.1	LINC01438	lncRNA	0	0	0	0	0	1
ENSG00000215961.1	MIR297	miRNA	0	0	0	0	0	0
ENSG00000288692.1	ENSG00000288692	lncRNA	3	3	0	1	2	3
ENSG00000251483.2	LYPLA1P2	processed_pseudogene	1	0	0	0	1	0
ENSG00000251312.2	ENSG00000251312	processed_pseudogene	0	0	0	0	0	0
ENSG00000200963.1	RNU6-289P	snRNA	0	1	0	0	0	0
ENSG00000248656.3	ENSG00000248656	lncRNA	0	0	0	0	0	0
ENSG00000241722.2	ENSG00000241722	processed_pseudogene	0	0	0	0	0	0
ENSG00000250855.2	ENSG00000250855	lncRNA	0	0	0	0	0	0
ENSG00000249815.2	LINC02945	lncRNA	2	4	4	0	5	6
ENSG00000288691.1	ENSG00000288691	lncRNA	0	0	0	0	0	0
ENSG00000288685.1	ENSG00000288685	lncRNA	0	0	0	0	0	0
ENSG00000250556.1	CCDC34P1	processed_pseudogene	0	0	0	0	0	0
ENSG00000250307.2	TUBB8P3	processed_pseudogene	0	0	0	0	0	0
ENSG00000240459.2	ENSG00000240459	processed_pseudogene	1	2	0	0	0	0
ENSG00000174749.6	FAM241A	protein_coding	62	104	28	10	31	22
ENSG00000243280.2	ENSG00000243280	processed_pseudogene	0	0	1	1	0	1
ENSG00000260526.1	AP1AR-DT	lncRNA	81	94	171	139	468	183
ENSG00000138660.12	AP1AR	protein_coding	1491	1920	2261	1885	2382	1262
ENSG00000272567.1	ENSG00000272567	lncRNA	0	2	0	2	1	3
